representation,parent_id,rank_group,mutant_id,parent_fitness,mutant_fitness,delta_fitness,status,genotype
Final F1,3,middle,3,1.695086870406392,0.3477231645332609,-1.3473637058731311,feasible,"(FXDX, rLfqX[Delay, 5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935])"
Final F1,3,middle,4,1.695086870406392,0.01772410699804182,-1.67736276340835,feasible,"XDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,5,1.695086870406392,0.016360158560836956,-1.6787267118455549,feasible,"FXDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin,1:1]qMX[T][|, 2:1][Water][Delay, -4:1, t:117][S][Sin, -12:-3.596][@, -1:1.935]"
Final F1,3,middle,6,1.695086870406392,0.07845456305733592,-1.616632307349056,feasible,"FXqDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,7,1.695086870406392,1.2046855904732747,-0.4904012799331172,feasible,"FXDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]rdLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,8,1.695086870406392,-0.039202822680944924,-1.7342896930873368,feasible,"FXDXrLqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,9,1.695086870406392,0.9990721290272141,-0.6960147413791778,feasible,"FXDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXGXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,10,1.695086870406392,0.034535879902038255,-1.6605509905043536,feasible,"FXMDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,11,1.695086870406392,0.9679788424705523,-0.7271080279358396,feasible,"FXDXrLfqX[Delay][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,12,1.695086870406392,0.2560757930224222,-1.4390110773839697,feasible,"FX[@,12:1]DXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
