genotype_index,genotype,perfperiod,lifespan,distance,velocity
6,"X(X, RRMMX[@G:.5](X[@G:.5], X))",100,10000.0,0.7225514255416465,7.225514255416465e-05
7,"FFX[G:-5.141,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:1.768,fo:1]RRX(X, X)",100,10000.0,2.539232618957999,0.0002539232618957999
8,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:52.083,p:1,r:0.886]RRFFFFXllllF(llllFFFF(llllX,llllFFFFX))",100,10000.0,38.58934976541785,0.0038589349765417854
9,"X(X,)",100,10000.0,0.0,0.0
10,"RXX(X,CcXXX)",100,10000.0,9.456488567167183e-13,9.456488567167183e-17
11,"X[S]rrX[G][-1:80][|, -1:0.9]X[|, -2:-21]",100,10000.0,20.867112741809716,0.0020867112741809715
12,"(rrX(lX(llX[T:1],),lXMMMMX[|1:1.378,-1:-3]rrX[T:-0.407](LlX,,LlX),))",100,10000.0,17.43993630699091,0.001743993630699091
13,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:1.849], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",100,10000.0,256.48326694979767,0.02564832669497977
14,"X(X, RRMMX[@G:.5](X[@G:.5,-1:1], X))",100,10000.0,8.439000730409907,0.0008439000730409906
15,"FFX[G:-5.141,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",100,10000.0,0.7769579923304517,7.769579923304516e-05
16,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:52.083,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllX,llllFFFFX))",100,10000.0,38.1263364560274,0.0038126336456027403
17,RXX(XCcXXX),100,10000.0,0.00234589333116936,2.3458933311693602e-07
18,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-21]",100,10000.0,12.584341959585059,0.0012584341959585058
19,"(rrX(lX(llX[T:1],),lXMMMMX[|1:1.378,-1:-3]rrX[T:-0.407]l(LlX,,LlX),))",100,10000.0,7.613078808918235,0.0007613078808918235
20,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",100,10000.0,276.64711616860984,0.027664711616860987
21,"X(X, RRMMX[@G:0.738](X[@G:.5,-1:1], X))",100,10000.0,131.45093102455422,0.013145093102455423
22,"FFX[G:-8.903,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",100,10000.0,1.2578721924776608,0.00012578721924776608
23,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllX,llllFFFFX))",100,10000.0,38.12633645603076,0.0038126336456030755
24,RXX(XCcX[S]XX),100,10000.0,0.002345893331116188,2.3458933311161877e-07
25,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-20.549]",100,10000.0,20.409019931500232,0.0020409019931500235
