category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f9,9-7,7,high,7,0.31235953490870877,/*9*/UFBFFDRRBL,1
f9,9-7,7,high,8,0.26941163306801574,/*9*/UFBFFURRBL,1
f9,9-7,7,high,9,0.18776336197336813,/*9*/UFBFFUURBL,1
f9,9-7,7,high,10,0.3047664661860803,/*9*/UFBFRUURBL,1
f9,9-7,7,high,11,0.3231014153962041,/*9*/UFLFRUURBL,1
f9,9-7,7,high,12,0.2677655870060355,/*9*/ULLFRUURBL,1
f9,9-7,7,high,13,0.3000857193251392,/*9*/ULLFRLURBL,1
f9,9-7,7,high,14,0.282652629556696,/*9*/ULLFRLULBL,1
f9,9-7,7,high,15,0.22688496839381087,/*9*/ULLFRLRLBL,1
f9,9-7,7,high,16,0.18941485198337368,/*9*/ULLFBRLRLBL,1
f9,9-7,7,high,17,0.13733414670342328,/*9*/ULLFBRLLLBL,1
f9,9-7,7,high,18,0.1449798751970926,/*9*/ULLFBRLFLBL,1
f9,9-7,7,high,19,0.11635815924151904,/*9*/ULLFBLFLBL,1
f9,9-7,7,high,20,0.24612252117405706,/*9*/ULLFBLFDBL,1
f9,9-7,7,high,21,0.32859310378932194,/*9*/ULLFULFDBL,1
f9,9-7,7,high,22,0.31091406063073307,/*9*/ULLFULFDFL,1
f9,9-7,7,high,23,0.2694164920417962,/*9*/ULLFULFDFD,1
f9,9-7,7,high,24,0.22307614058065242,/*9*/ULLFULDDFD,1
f9,9-7,7,high,25,0.13060343405254848,/*9*/ULLULDDFD,1
f9,9-7,7,high,26,0.1258417135894202,/*9*/ULLULDDFDD,1
f9,9-7,7,high,27,0.31703136146429856,/*9*/ULLULDDFFD,1
f9,9-7,7,high,28,0.5258443666814898,/*9*/ULLULDDFFL,1
f9,9-7,7,high,29,0.3840672548381827,/*9*/ULLUBDDFFL,1
f9,9-7,7,high,30,0.39306139027416703,/*9*/UDLUBDDFFL,1
f9,9-8,8,high,0,0.7348313170335047,/*9*/RUULDDBFR,0
f9,9-8,8,high,1,0.5061493287197395,/*9*/RUULDLBFR,1
f9,9-8,8,high,2,0.24961514460311768,/*9*/RBULDLBFR,1
f9,9-8,8,high,3,0.1829892145685282,/*9*/RBLLDLBFR,1
f9,9-8,8,high,4,0.2367862898641287,/*9*/RBLDLBFR,1
f9,9-8,8,high,5,0.18426884557116127,/*9*/RBLDFBFR,1
f9,9-8,8,high,6,0.21923638587788055,/*9*/DBLDFBFR,1
f9,9-8,8,high,7,0.23086339536340655,/*9*/DBLLDFBFR,1
f9,9-8,8,high,8,0.26156714427422373,/*9*/DBLFDFBFR,1
f9,9-8,8,high,9,0.2947971810040925,/*9*/DBLFDFUBFR,1
f9,9-8,8,high,10,0.2809685372735576,/*9*/LBLFDFUBFR,1
f9,9-8,8,high,11,0.29904868341893304,/*9*/LBLFDFUBRR,1
f9,9-8,8,high,12,0.45833794420323887,/*9*/LBLDDFUBRR,1
f9,9-8,8,high,13,0.22525391826792948,/*9*/LBLDDLUBRR,1
f9,9-8,8,high,14,0.1979966127211541,/*9*/LBRDDLUBRR,1
f9,9-8,8,high,15,0.2305482466382766,/*9*/LBRFDLUBRR,1
f9,9-8,8,high,16,0.21874564612206446,/*9*/LDRFDLUBRR,1
f9,9-8,8,high,17,0.20090899452897737,/*9*/LDRFDLUBURR,1
f9,9-8,8,high,18,0.24371051209647554,/*9*/LDRFDDUBURR,1
f9,9-8,8,high,19,0.41712750949060234,/*9*/LDRFDFUBURR,1
f9,9-8,8,high,20,0.41173764363679355,/*9*/LDRFDFUURR,1
f9,9-8,8,high,21,0.12674988205887358,/*9*/LDRDDFUURR,1
f9,9-8,8,high,22,0.14546065522741877,/*9*/LDRDDFUUR,1
f9,9-8,8,high,23,0.14382369922427699,/*9*/LDRDDBUUR,1
f9,9-8,8,high,24,0.4077265941551835,/*9*/LLRDDBUUR,1
f9,9-8,8,high,25,0.39682281359441174,/*9*/LRRDDBUUR,1
f9,9-8,8,high,26,0.34700549137681447,/*9*/LRRDDBUUF,1
f9,9-8,8,high,27,0.4901488891678257,/*9*/LRRRDBUUF,1
f9,9-8,8,high,28,0.27966815096672243,/*9*/LRRRDBUUFL,1
f9,9-8,8,high,29,0.219256570435934,/*9*/LRRRDBFUFL,1
f9,9-8,8,high,30,0.22608352367262788,/*9*/LRLRRDBFUFL,1
f9,9-9,9,high,0,0.7533341425582133,/*9*/RBFUUU,0
f9,9-9,9,high,1,0.6496977684696347,/*9*/RBFUUB,1
f9,9-9,9,high,2,0.6527078028774888,/*9*/RLBFUUB,1
f9,9-9,9,high,3,0.6496977684696347,/*9*/RBFUUB,1
f9,9-9,9,high,4,0.6486153129987781,/*9*/RLFUUB,1
f9,9-9,9,high,5,0.23321211507517955,/*9*/RLBUUB,1
f9,9-9,9,high,6,0.3223162808419774,/*9*/RRBUUB,1
f9,9-9,9,high,7,0.21794835566633866,/*9*/RRUUB,1
f9,9-9,9,high,8,0.20823893203051394,/*9*/RRUUBU,1
f9,9-9,9,high,9,0.3084067948110568,/*9*/RRFUBU,1
f9,9-9,9,high,10,0.23188150325534607,/*9*/RRFUBL,1
f9,9-9,9,high,11,0.2887159540270644,/*9*/RDFUBL,1
f9,9-9,9,high,12,0.2887159540270644,/*9*/RDFUBD,1
f9,9-9,9,high,13,0.2723112083635976,/*9*/RDFUUBD,1
f9,9-9,9,high,14,0.0693942752241487,/*9*/RLFUUBD,1
f9,9-9,9,high,15,0.058067466745365434,/*9*/RFFUUBD,1
f9,9-9,9,high,16,0.5409837309441786,/*9*/RFFUUBF,1
f9,9-9,9,high,17,0.3027181874237019,/*9*/RFBUUBF,1
f9,9-9,9,high,18,0.35939437098571847,/*9*/RFBDUBF,1
f9,9-9,9,high,19,0.3787993597166582,/*9*/RFBDUUF,2
f9,9-9,9,high,20,0.30457714168624056,/*9*/RFLDUUF,1
f9,9-9,9,high,21,0.23352832568701007,/*9*/RFLDUFF,1
f9,9-9,9,high,22,0.2913223393767455,/*9*/RFLDUBF,1
f9,9-9,9,high,23,0.23143652974589377,/*9*/RFLDLBF,1
f9,9-9,9,high,24,0.27470657952192473,/*9*/UFLDLBF,1
f9,9-9,9,high,25,0.23825060640922197,/*9*/UFLDFBF,1
f9,9-9,9,high,26,0.2891243403064219,/*9*/UFLRFBF,2
f9,9-9,9,high,27,0.2891243403064219,/*9*/UFLRFBB,1
f9,9-9,9,high,28,0.11018417667284514,/*9*/UDLRFBB,1
f9,9-9,9,high,29,0.3484043916876363,/*9*/UDDRFBB,1
f9,9-9,9,high,30,0.289043809668772,/*9*/UDDRFBBL,1
f9,9-10,10,high,0,0.7538730986188049,/*9*/DDDBRLF,0
f9,9-10,10,high,1,0.37482871975714743,/*9*/DFDBRLF,1
f9,9-10,10,high,2,0.37482871975714743,/*9*/DFDBRL,1
f9,9-10,10,high,3,0.1812238284080507,/*9*/DFDRRL,1
f9,9-10,10,high,4,0.24779932582298975,/*9*/DFDDRL,1
f9,9-10,10,high,5,0.23484682250528907,/*9*/DFDFRL,1
f9,9-10,10,high,6,0.262469247128805,/*9*/DFDFLL,1
f9,9-10,10,high,7,0.23654793050276077,/*9*/FDFLL,1
f9,9-10,10,high,8,0.2451817543381313,/*9*/FDBLL,1
f9,9-10,10,high,9,0.2672267257914707,/*9*/FDULL,1
f9,9-10,10,high,10,0.2538399290206987,/*9*/FDURL,1
f9,9-10,10,high,11,0.2102900505635475,/*9*/FDUDL,1
f9,9-10,10,high,12,0.10885750179275605,/*9*/FLUDL,2
f9,9-10,10,high,13,0.24663531028679267,/*9*/FLFDL,1
f9,9-10,10,high,14,0.1532666163074391,/*9*/LFDL,1
f9,9-10,10,high,15,0.12073334983359522,/*9*/LFDLL,1
f9,9-10,10,high,16,0.20147593181104545,/*9*/LDFDLL,1
f9,9-10,10,high,17,0.2657906312712987,/*9*/LDFDLF,1
f9,9-10,10,high,18,0.2977286045184156,/*9*/LDUDLF,1
f9,9-10,10,high,19,0.2511627426504133,/*9*/LDUDUF,1
f9,9-10,10,high,20,0.10886453370256816,/*9*/LFDUDUF,1
f9,9-10,10,high,21,0.08508636926606211,/*9*/LFDUUDUF,1
f9,9-10,10,high,22,0.10882410753630056,/*9*/LFDUUDBF,1
f9,9-10,10,high,23,0.3980140358299171,/*9*/LFFUUDBF,1
f9,9-10,10,high,24,0.33669106788987446,/*9*/LFFRUUDBF,1
f9,9-10,10,high,25,0.3865193920816666,/*9*/LRFRUUDBF,1
f9,9-10,10,high,26,0.3029470671175022,/*9*/URFRUUDBF,1
f9,9-10,10,high,27,0.265010246119339,/*9*/URFRUUDBUF,1
f9,9-10,10,high,28,0.30745312939276326,/*9*/URFRFUDBUF,1
f9,9-10,10,high,29,0.30793319866127333,/*9*/URFRFUDDUF,1
f9,9-10,10,high,30,0.3254155080939584,/*9*/URFRFUDUF,1
f9,9-11,11,medium,0,0.7542250447018342,/*9*/DDDLBFR,0
