category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f0,0-2,2,best,8,0.17129109525417724,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27, ing=0.241
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223, fr=0.452
p:-0.065, -0.555, -0.092
j:0, 3, stif=0.927, rotstif=0.91
j:6, 0, rotstif=0.776
j:1, 6
j:4, 1
j:5, 0
j:2, 5, rotstif=0.98
",1
f0,0-2,2,best,9,0.2481998352937671,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223, fr=0.452
p:-0.065, -0.555, -0.092
j:5, 0, rotstif=0.776
j:1, 5
j:3, 1
j:4, 0
j:2, 4, rotstif=0.98
",1
f0,0-2,2,best,10,0.20047512761756542,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223, fr=0.452
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:5, 1
j:4, 0
j:2, 4, rotstif=0.98
",1
f0,0-2,2,best,11,0.21467221538655362,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223, fr=0.452
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:5, 1
j:4, 0
j:2, 4, rotstif=0.98
j:5, 0
",1
f0,0-2,2,best,12,0.196453923167057,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:5, 1
j:4, 0
j:2, 4, rotstif=0.98
j:5, 0
",1
f0,0-2,2,best,13,0.1963698317804784,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:5, 1
j:4, 0
j:2, 4, rotstif=0.98
j:5, 0, stif=0.993
",1
f0,0-2,2,best,14,0.1963698317804784,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452, ing=0.246
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:5, 1
j:4, 0
j:2, 4, rotstif=0.98
j:5, 0, stif=0.993
",1
f0,0-2,2,best,15,0.19659188813805623,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452, ing=0.246
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:5, 1
j:4, 0
j:2, 4, rotstif=0.98
j:5, 0, stif=0.993
j:1, 2
",1
f0,0-2,2,best,16,0.14351202632716187,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452, ing=0.246
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:5, 1
j:2, 4, rotstif=0.98
j:5, 0, stif=0.993
j:1, 2
",1
f0,0-2,2,best,17,0.1433243689101042,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452, ing=0.246
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:5, 1
j:2, 4, rotstif=0.98
j:5, 0, stif=0.993
j:1, 2
",1
