run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
3,1,39,3,"RmLmCX[N, 3:1][@, 2:-0.191][|][*]",0.0017158454355944634,"RmLmCX[@,2:-0.191][|][*]"
30,1,0,0,X,0.0,
30,1,9,1,"XCX[|,2:4.072][*][T][G][@, -2:5.997]",0.002019517142278721,"CX[|,2:4.072][*][T][G][@, -2:5.997]"
30,1,26,2,"LXCX[|,2:7.621][*][T][G][@, -2:4.535]",0.005651178902070807,"LXCX[|,2:7.621][*][T][G][@, -2:5.219]"
30,1,39,3,"LXCX[|,2:7.621][*][T][@, -1:5.219]",0.0065121591828226615,"LXCX[|,2:7.621][*][T][G][@, -2:5.219]"
31,1,0,0,X,0.0,
31,1,21,1,"XRLLX[@,3:2.944][|,1:3.859][T,r:1][G][G]",0.0002380771983245997,"XRLLX[@,3:2.944][|,1:3.859][T][G][G]"
31,1,29,2,"XRLLLX[@,3:2.944][|,1:9.529,p:0.25][T][G][G]",0.000586115004216655,"XRLLLX[@,3:2.944][|,1:9.529][T][G][G]"
31,1,74,3,"XRLLLX[T][@, 3:3.074][|, 1:9.122][T][G][G]",0.0006944353315217679,"XRLLLX[@,3:3.074][|,1:9.122][T][G][G]"
32,1,0,0,X,0.0,
32,1,1,1,rcX[@][|],7.141681846125619e-07,rcX[|]
32,1,7,2,"rfcX[@][|,r:1]",2.3439764764585437e-05,rfcX[@][|]
32,1,22,3,"rfcX[N][@][|,-2:1]",2.3439764764585437e-05,rfcX[@][|]
33,1,0,0,X,0.0,
33,1,17,1,"RfLLcQXXlQqqMMqX[|,2:-0.658][Gpart,rz:1.465][T]",0.00104666813745161,"RfLLcQXXlQqqMMqX[|,2:-1.26][Gpart,rz:1.465][T]"
33,1,35,2,"RFfLLcQXXlQqqMMqX[|,2:0.921,r:1][Gpart,rz:1.465][T]",0.0029311327151314587,"RFfLLcQXXlQqqMMqX[|,2:0.921][Gpart,rz:1.465][T]"
33,1,63,3,"RFfLLcQXMXlqqMMqX[|,2:0.921][Gpart,rz:1.116][T]",0.0029699677297417024,"RFfLLcQXMXlqqMMqX[|,2:0.921][Gpart,rz:1.465][T]"
34,1,0,0,X,0.0,
34,1,22,1,"RLQCX[|,1:-0.244]QLCCCX[T,rz:0]",0.000318684677077767,"RLQCX[|,1:-0.244]QLCCCX[T]"
34,1,57,2,"RLQCX[|,1:-0.262,r:1]QLFCCfX[T]",0.000378663282956147,"RLQCX[|,1:-0.262]QLFCCfX[T]"
34,1,89,3,"RcLQCX[|,2:-0.262]QLFCCffX[|,1:1.297,p:0.25][T]",0.0036502405703469736,"RcLQCX[|,2:-0.262]QLFCCffX[|,1:1.297][T]"
35,1,0,0,X,0.0,
35,1,31,1,"rcLX[|,1:-0.514,p:0.25][G]mLLX[|,-1:0.224]",0.0011146028986907608,"rcLX[|,1:-0.514][G]mLLX[|,-1:0.224]"
35,1,68,2,"rcLX[|,1:-1.236][G]mLLFX[|,-1:0.372]",0.0017429462236420506,"rcLX[|,1:-1.427][G]mLLFX[|,-1:0.372]"
35,1,104,3,"rMcLX[G][|, 1:-3.138][G]QmLLFX[|, -1:0.372]",0.0023076469609403898,"rMcLX[|,1:-3.138][G]QmLLFX[|,-1:0.372]"
36,1,0,0,X,0.0,
36,1,14,1,"LX[|,2:-0.252]rFcX[|,1:2.692][G]",4.723644075428553e-05,"LX[|,2:-0.252]rfFcX[|,1:2.692][G]"
36,1,34,2,"RLX[|,2:-0.252,p:0.25]rfFcX[|][G]",0.0006579134197663177,"RLX[|,2:-0.252]rfFcX[|][G]"
